Strategy 1,ewc,lwf,replay,agem,mir,gss,cope
ewc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lwf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agem,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mir,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cope,0.0,0.0,0.0,0.0,0.0,0.0,0.0
