Strategy 1,ewc,lwf,replay,agem,mir,gss,cope
ewc,0.0,0.0,0.049,0.0,0.0,0.014,0.0
lwf,0.0,0.0,0.028,0.0,0.0,0.0,0.0
replay,0.049,0.028,0.0,0.051,0.18,0.378,0.603
agem,0.0,0.0,0.051,0.0,0.0,0.002,0.0
mir,0.0,0.0,0.18,0.0,0.0,0.56,0.0
gss,0.014,0.0,0.378,0.002,0.56,0.0,0.0
cope,0.0,0.0,0.603,0.0,0.0,0.0,0.0
