Strategy 1,ewc,lwf,replay,agem,mir,gss,cope
ewc,0.0,0.0,0.0,0.0,0.74,0.031,0.067
lwf,0.0,0.0,0.0,0.0,0.339,0.0,0.012
replay,0.0,0.0,0.0,0.0,0.015,0.0,0.005
agem,0.0,0.0,0.0,0.0,0.659,0.002,0.036
mir,0.74,0.339,0.015,0.659,0.0,0.0,0.0
gss,0.031,0.0,0.0,0.002,0.0,0.0,0.0
cope,0.067,0.012,0.005,0.036,0.0,0.0,0.0
