Strategy 1,ewc,lwf,replay,agem,mir,gss,cope
ewc,1.0,0.956,-0.715,0.957,-0.382,-0.751,-0.724
lwf,0.956,1.0,-0.712,0.959,-0.354,-0.738,-0.734
replay,-0.715,-0.712,1.0,-0.701,0.548,0.834,0.845
agem,0.957,0.959,-0.701,1.0,-0.405,-0.772,-0.733
mir,-0.382,-0.354,0.548,-0.405,1.0,0.557,0.558
gss,-0.751,-0.738,0.834,-0.772,0.557,1.0,0.82
cope,-0.724,-0.734,0.845,-0.733,0.558,0.82,1.0
