Strategy 1,ewc,lwf,replay,agem,mir,gss,cope
ewc,1.0,0.941,0.18,0.943,0.701,0.223,0.756
lwf,0.941,1.0,0.2,0.932,0.658,0.356,0.75
replay,0.18,0.2,1.0,0.179,-0.123,0.081,0.048
agem,0.943,0.932,0.179,1.0,0.712,0.281,0.762
mir,0.701,0.658,-0.123,0.712,1.0,0.054,0.578
gss,0.223,0.356,0.081,0.281,0.054,1.0,0.348
cope,0.756,0.75,0.048,0.762,0.578,0.348,1.0
