Strategy,Position 0,Position 1,Position 2,Position 3,Position 4
ewc,0.003,0.002,0.003,0.003,0.01
lwf,0.002,0.003,0.003,0.003,0.01
replay,0.003,0.004,0.005,0.001,0.012
agem,0.003,0.003,0.002,0.002,0.01
mir,0.008,0.003,0.004,0.005,0.009
gss,0.016,0.007,0.008,0.008,0.012
cope,0.004,0.003,0.001,0.003,0.005
