Strategy,Position 0,Position 1,Position 2,Position 3,Position 4
ewc,0.0,0.0,0.0,0.0,0.499
lwf,0.0,0.0,0.0,0.0,0.501
replay,0.095,0.096,0.114,0.136,0.464
agem,0.0,0.0,0.0,0.0,0.498
mir,0.07,0.077,0.094,0.125,0.494
gss,0.203,0.01,0.004,0.006,0.505
cope,0.159,0.173,0.2,0.232,0.254
