Dataset,strategy,Random,L2L,OTF-last,OTF-avg
CIFAR10-I,CoPE,0.02,0.018,0.018,0.02
CIFAR10-I,ER,0.018,0.008,0.019,0.02
CIFAR10-I,GSS,0.031,0.01,0.029,0.023
CIFAR10-I,MIR,0.015,0.021,0.014,0.026
CIFAR10-II,CoPE,0.015,0.018,0.028,0.024
CIFAR10-II,ER,0.025,0.009,0.026,0.031
CIFAR10-II,GSS,0.018,0.01,0.026,0.034
CIFAR10-II,MIR,0.025,0.011,0.022,0.021
M2I,CoPE,0.017,0.045,0.013,0.008
M2I,ER,0.018,0.007,0.005,0.009
M2I,GSS,0.058,0.045,0.053,0.059
M2I,MIR,0.026,0.012,0.011,0.016
