Dataset,strategy,Random,OTF-last,OTF-avg
CIFAR100,CoPE,0.004,0.004,0.007
CIFAR100,ER,0.008,0.005,0.009
CIFAR100,GSS,0.007,0.005,0.006
CIFAR100,MIR,0.006,0.006,0.007
CIFAR100-superclass,CoPE,0.008,0.005,0.006
CIFAR100-superclass,ER,0.012,0.005,0.006
CIFAR100-superclass,GSS,0.007,0.006,0.005
CIFAR100-superclass,MIR,0.006,0.007,0.007
TinyImageNet,CoPE,0.004,0.004,0.003
TinyImageNet,ER,0.003,0.007,0.003
TinyImageNet,GSS,0.003,0.002,0.003
TinyImageNet,MIR,0.004,0.003,0.004
