,replay,mir,gss,cope,Mean Accuracy Rank
"(1, 4, 2, 3, 0)",25,20,1,3,12.25
"(1, 2, 4, 3, 0)",44,7,4,17,18.0
"(1, 2, 3, 4, 0)",80,6,5,14,26.25
"(1, 4, 3, 2, 0)",31,24,6,21,20.5
"(1, 2, 4, 0, 3)",65,28,2,48,35.75
