,replay,mir,gss,cope,Mean Accuracy Rank
"(3, 1, 0, 2, 4)",97,95,107,97,99.0
"(4, 0, 1, 3, 2)",41,112,117,96,91.5
"(3, 0, 1, 4, 2)",54,108,114,119,98.75
"(3, 0, 1, 2, 4)",94,87,120,98,99.75
"(3, 1, 0, 4, 2)",61,111,118,120,102.5
