,replay,mir,gss,cope,Mean Accuracy
"(1, 4, 2, 3, 0)",0.481,0.481,0.415,0.497,0.468
"(1, 2, 4, 3, 0)",0.475,0.495,0.402,0.487,0.465
"(1, 2, 3, 4, 0)",0.462,0.495,0.393,0.488,0.46
"(1, 4, 3, 2, 0)",0.479,0.475,0.388,0.485,0.457
"(1, 2, 4, 0, 3)",0.468,0.471,0.407,0.472,0.455
