,replay,mir,gss,cope,Mean Accuracy
"(3, 1, 0, 2, 4)",0.451,0.429,0.188,0.452,0.38
"(4, 0, 1, 3, 2)",0.476,0.408,0.164,0.452,0.375
"(3, 0, 1, 4, 2)",0.473,0.413,0.176,0.431,0.373
"(3, 0, 1, 2, 4)",0.451,0.436,0.136,0.449,0.368
"(3, 1, 0, 4, 2)",0.47,0.409,0.149,0.43,0.364
