,replay,mir,gss,cope,Mean Accuracy Rank
"(2, 0, 4, 3, 1)",119,105,96,118,109.5
"(2, 0, 3, 4, 1)",111,116,98,116,110.25
"(0, 2, 3, 4, 1)",120,117,120,88,111.25
"(3, 2, 0, 4, 1)",116,109,102,120,111.75
"(0, 2, 4, 3, 1)",115,120,113,119,116.75
