,replay,mir,gss,cope,Mean Accuracy Rank
"(1, 4, 3, 0, 2)",3,52,8,2,16.25
"(4, 1, 3, 2, 0)",42,10,3,3,14.5
"(1, 0, 3, 4, 2)",6,16,12,7,10.25
"(4, 0, 3, 1, 2)",11,12,10,14,11.75
"(3, 1, 0, 4, 2)",1,17,27,10,13.75
