,replay,mir,gss,cope,Mean Accuracy
"(1, 4, 3, 0, 2)",0.337,0.313,0.311,0.434,0.349
"(4, 1, 3, 2, 0)",0.314,0.334,0.317,0.429,0.349
"(1, 0, 3, 4, 2)",0.333,0.33,0.305,0.426,0.348
"(4, 0, 3, 1, 2)",0.328,0.332,0.308,0.42,0.347
"(3, 1, 0, 4, 2)",0.339,0.33,0.295,0.424,0.347
