,replay,mir,gss,cope,Mean Accuracy Rank
"(1, 2, 4, 3, 0)",87,110,111,108,104.0
"(2, 3, 4, 0, 1)",92,106,119,65,95.5
"(1, 2, 3, 0, 4)",99,118,107,109,108.25
"(3, 2, 4, 0, 1)",115,120,83,114,108.0
"(2, 3, 0, 4, 1)",109,93,120,111,108.25
