,replay,mir,gss,cope,Mean Accuracy
"(0, 2, 4, 1, 3)",0.334,0.32,0.324,0.421,0.35
"(4, 1, 0, 2, 3)",0.327,0.328,0.32,0.42,0.349
"(0, 1, 4, 2, 3)",0.314,0.349,0.305,0.418,0.347
"(4, 2, 1, 0, 3)",0.33,0.321,0.31,0.425,0.347
"(0, 1, 2, 4, 3)",0.336,0.315,0.318,0.414,0.346
