,replay,mir,gss,cope,Mean Accuracy
"(1, 2, 4, 3, 0)",0.293,0.28,0.238,0.391,0.3
"(2, 3, 4, 0, 1)",0.29,0.284,0.222,0.402,0.3
"(1, 2, 3, 0, 4)",0.288,0.271,0.242,0.39,0.298
"(3, 2, 4, 0, 1)",0.277,0.258,0.261,0.387,0.296
"(2, 3, 0, 4, 1)",0.282,0.288,0.216,0.389,0.294
